"nombre","has_projectTotal","bioma","year","has_perdida","has_perdida_cum","has_bosque","has_no_bosque"
"Bellavista",316.90047266927,"Andean","x2000",NA,NA,313.810268157624,3.86275563955716
"Bellavista",316.90047266927,"Andean","x2001",0.23176533837343,0.23176533837343,313.57850281925,4.09452097793059
"Bellavista",316.90047266927,"Andean","x2002",0.23176533837343,0.463530676746859,313.346737480877,4.32628631630402
"Bellavista",316.90047266927,"Andean","x2003",0,0.463530676746859,313.346737480877,4.32628631630402
"Bellavista",316.90047266927,"Andean","x2004",0,0.463530676746859,313.346737480877,4.32628631630402
"Bellavista",316.90047266927,"Andean","x2005",0,0.463530676746859,313.346737480877,4.32628631630402
"Bellavista",316.90047266927,"Andean","x2006",0.849806240702575,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2007",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2008",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2009",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2010",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2011",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2012",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2013",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2014",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2015",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2016",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2017",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2018",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2019",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2020",0,1.31333691744943,312.496931240174,5.1760925570066
"Bellavista",316.90047266927,"Andean","x2021",0,1.31333691744943,312.496931240174,5.1760925570066
"San Nicolás",31.7551941741162,"Andean","x2000",NA,NA,14.9976338750043,16.7575602991119
"San Nicolás",31.7551941741162,"Andean","x2001",2.06600058482202,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2002",0,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2003",0,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2004",0,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2005",0,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2006",0,2.06600058482202,12.9316332901823,18.8235608839339
"San Nicolás",31.7551941741162,"Andean","x2007",0.153037080357186,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2008",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2009",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2010",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2011",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2012",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2013",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2014",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2015",0,2.2190376651792,12.7785962098251,18.9765979642911
"San Nicolás",31.7551941741162,"Andean","x2016",0.306074160714373,2.52511182589358,12.4725220491107,19.2826721250055
"San Nicolás",31.7551941741162,"Andean","x2017",0,2.52511182589358,12.4725220491107,19.2826721250055
"San Nicolás",31.7551941741162,"Andean","x2018",0,2.52511182589358,12.4725220491107,19.2826721250055
"San Nicolás",31.7551941741162,"Andean","x2019",0,2.52511182589358,12.4725220491107,19.2826721250055
"San Nicolás",31.7551941741162,"Andean","x2020",0,2.52511182589358,12.4725220491107,19.2826721250055
"San Nicolás",31.7551941741162,"Andean","x2021",0,2.52511182589358,12.4725220491107,19.2826721250055
"Alto Anchicaya",446.544039980129,"Andean","x2000",NA,NA,443.461236804567,3.08280317556181
"Alto Anchicaya",446.544039980129,"Andean","x2001",0.539490555723317,0.539490555723317,442.921746248844,3.62229373128513
"Alto Anchicaya",446.544039980129,"Andean","x2002",0.385350396945227,0.924840952668544,442.536395851898,4.00764412823036
"Alto Anchicaya",446.544039980129,"Andean","x2003",0,0.924840952668544,442.536395851898,4.00764412823036
"Alto Anchicaya",446.544039980129,"Andean","x2004",0,0.924840952668544,442.536395851898,4.00764412823036
"Alto Anchicaya",446.544039980129,"Andean","x2005",0,0.924840952668544,442.536395851898,4.00764412823036
"Alto Anchicaya",446.544039980129,"Andean","x2006",0.462420476334272,1.38726142900282,442.073975375564,4.47006460456463
"Alto Anchicaya",446.544039980129,"Andean","x2007",0,1.38726142900282,442.073975375564,4.47006460456463
"Alto Anchicaya",446.544039980129,"Andean","x2008",0.462420476334272,1.84968190533709,441.61155489923,4.9324850808989
"Alto Anchicaya",446.544039980129,"Andean","x2009",0,1.84968190533709,441.61155489923,4.9324850808989
