"project","class","year","area_ha","type"
"yutucu","Forest",2010,853672,"landuse"
"yutucu","Savanna",2010,218,"landuse"
"yutucu","Grassland",2010,2160,"landuse"
"yutucu","Wetland",2010,40,"landuse"
"yutucu","Urban",2010,204,"landuse"
"yutucu","Forest",2011,853664,"landuse"
"yutucu","Savanna",2011,247,"landuse"
"yutucu","Grassland",2011,2094,"landuse"
"yutucu","Wetland",2011,85,"landuse"
"yutucu","Urban",2011,204,"landuse"
"yutucu","Forest",2012,853596,"landuse"
"yutucu","Savanna",2012,290,"landuse"
"yutucu","Grassland",2012,2094,"landuse"
"yutucu","Wetland",2012,110,"landuse"
"yutucu","Urban",2012,204,"landuse"
"yutucu","Forest",2013,853570,"landuse"
"yutucu","Savanna",2013,371,"landuse"
"yutucu","Grassland",2013,2039,"landuse"
"yutucu","Wetland",2013,110,"landuse"
"yutucu","Urban",2013,204,"landuse"
"yutucu","Forest",2014,853520,"landuse"
"yutucu","Savanna",2014,407,"landuse"
"yutucu","Grassland",2014,2053,"landuse"
"yutucu","Wetland",2014,110,"landuse"
"yutucu","Urban",2014,204,"landuse"
"yutucu","Forest",2015,853543,"landuse"
"yutucu","Savanna",2015,377,"landuse"
"yutucu","Grassland",2015,2019,"landuse"
"yutucu","Wetland",2015,151,"landuse"
"yutucu","Urban",2015,204,"landuse"
"yutucu","Forest",2016,853539,"landuse"
"yutucu","Savanna",2016,417,"landuse"
"yutucu","Grassland",2016,1983,"landuse"
"yutucu","Wetland",2016,151,"landuse"
"yutucu","Urban",2016,204,"landuse"
"yutucu","Forest",2017,853386,"landuse"
"yutucu","Savanna",2017,623,"landuse"
"yutucu","Grassland",2017,1955,"landuse"
"yutucu","Wetland",2017,126,"landuse"
"yutucu","Urban",2017,204,"landuse"
"yutucu","Forest",2018,853361,"landuse"
"yutucu","Savanna",2018,652,"landuse"
"yutucu","Grassland",2018,1967,"landuse"
"yutucu","Wetland",2018,110,"landuse"
"yutucu","Urban",2018,204,"landuse"
"yutucu","Forest",2019,853336,"landuse"
"yutucu","Savanna",2019,582,"landuse"
"yutucu","Grassland",2019,2062,"landuse"
"yutucu","Wetland",2019,110,"landuse"
"yutucu","Urban",2019,204,"landuse"
"yutucu","Forest",2020,853752,"landuse"
"yutucu","Savanna",2020,422,"landuse"
"yutucu","Grassland",2020,1806,"landuse"
"yutucu","Wetland",2020,110,"landuse"
"yutucu","Urban",2020,204,"landuse"
"zabalo","Cropland",2017,132549,"vocation"
"zabalo","Water bodies",2017,11809,"vocation"
"zabalo","Forest",2017,486279,"vocation"
"zabalo","Forest",2001,617552,"landuse"
"zabalo","Savanna",2001,37,"landuse"
"zabalo","Grassland",2001,142,"landuse"
"zabalo","Wetland",2001,12759,"landuse"
"zabalo","Water bodies",2001,147,"landuse"
"zabalo","Forest",2002,617681,"landuse"
"zabalo","Savanna",2002,27,"landuse"
"zabalo","Grassland",2002,182,"landuse"
"zabalo","Wetland",2002,12601,"landuse"
"zabalo","Water bodies",2002,146,"landuse"
"zabalo","Forest",2003,617746,"landuse"
"zabalo","Savanna",2003,18,"landuse"
"zabalo","Grassland",2003,113,"landuse"
"zabalo","Wetland",2003,12659,"landuse"
"zabalo","Water bodies",2003,101,"landuse"
"zabalo","Forest",2004,617656,"landuse"
"zabalo","Savanna",2004,25,"landuse"
"zabalo","Grassland",2004,113,"landuse"
"zabalo","Wetland",2004,12742,"landuse"
"zabalo","Water bodies",2004,101,"landuse"
"zabalo","Forest",2005,617663,"landuse"
"zabalo","Savanna",2005,25,"landuse"
"zabalo","Grassland",2005,87,"landuse"
"zabalo","Wetland",2005,12761,"landuse"
"zabalo","Water bodies",2005,101,"landuse"
"zabalo","Forest",2006,617564,"landuse"
"zabalo","Savanna",2006,25,"landuse"
"zabalo","Grassland",2006,122,"landuse"
"zabalo","Wetland",2006,12825,"landuse"
"zabalo","Water bodies",2006,101,"landuse"
"zabalo","Forest",2007,617508,"landuse"
"zabalo","Savanna",2007,25,"landuse"
"zabalo","Grassland",2007,141,"landuse"
"zabalo","Wetland",2007,12862,"landuse"
"zabalo","Water bodies",2007,101,"landuse"
"zabalo","Forest",2008,617517,"landuse"
"zabalo","Grassland",2008,232,"landuse"
"zabalo","Wetland",2008,12787,"landuse"
"zabalo","Water bodies",2008,101,"landuse"
"zabalo","Forest",2009,617524,"landuse"
"zabalo","Grassland",2009,239,"landuse"
"zabalo","Wetland",2009,12773,"landuse"
"zabalo","Water bodies",2009,101,"landuse"
"zabalo","Forest",2010,617478,"landuse"
"zabalo","Grassland",2010,336,"landuse"
"zabalo","Wetland",2010,12722,"landuse"
"zabalo","Water bodies",2010,101,"landuse"
"zabalo","Forest",2011,617464,"landuse"
"zabalo","Grassland",2011,295,"landuse"
"zabalo","Wetland",2011,12777,"landuse"
"zabalo","Water bodies",2011,101,"landuse"
"zabalo","Forest",2012,617384,"landuse"
"zabalo","Grassland",2012,264,"landuse"
"zabalo","Wetland",2012,12888,"landuse"
"zabalo","Water bodies",2012,101,"landuse"
"zabalo","Forest",2013,617352,"landuse"
"zabalo","Grassland",2013,225,"landuse"
"zabalo","Wetland",2013,12959,"landuse"
"zabalo","Water bodies",2013,101,"landuse"
"zabalo","Forest",2014,617234,"landuse"
"zabalo","Grassland",2014,227,"landuse"
"zabalo","Wetland",2014,13075,"landuse"
"zabalo","Water bodies",2014,101,"landuse"
"zabalo","Forest",2015,617078,"landuse"
"zabalo","Grassland",2015,227,"landuse"
"zabalo","Wetland",2015,13231,"landuse"
"zabalo","Water bodies",2015,101,"landuse"
"zabalo","Forest",2016,617036,"landuse"
"zabalo","Grassland",2016,202,"landuse"
"zabalo","Wetland",2016,13314,"landuse"
"zabalo","Water bodies",2016,85,"landuse"
"zabalo","Forest",2017,617048,"landuse"
"zabalo","Grassland",2017,202,"landuse"
"zabalo","Wetland",2017,13302,"landuse"
"zabalo","Water bodies",2017,85,"landuse"
"zabalo","Forest",2018,617055,"landuse"
"zabalo","Grassland",2018,296,"landuse"
"zabalo","Wetland",2018,13201,"landuse"
"zabalo","Water bodies",2018,85,"landuse"
"zabalo","Forest",2019,617156,"landuse"
"zabalo","Grassland",2019,401,"landuse"
"zabalo","Wetland",2019,13020,"landuse"
"zabalo","Water bodies",2019,60,"landuse"
"zabalo","Forest",2020,617039,"landuse"
"zabalo","Grassland",2020,387,"landuse"
"zabalo","Wetland",2020,13151,"landuse"
"zabalo","Water bodies",2020,60,"landuse"
"banakale","Cropland",2017,76477,"vocation"
"banakale","Water bodies",2017,2279,"vocation"
"banakale","Savanna",2017,55101,"vocation"
"banakale","Forest",2017,139911,"vocation"
"banakale","Grassland",2017,3179,"vocation"
"banakale","Forest",2001,15953,"landuse"
"banakale","Savanna",2001,215892,"landuse"
"banakale","Grassland",2001,45046,"landuse"
"banakale","Urban",2001,56,"landuse"
"banakale","Forest",2002,16641,"landuse"
"banakale","Savanna",2002,213961,"landuse"
"banakale","Grassland",2002,46289,"landuse"
"banakale","Urban",2002,56,"landuse"
"banakale","Forest",2003,16127,"landuse"
"banakale","Savanna",2003,213615,"landuse"
"banakale","Grassland",2003,47149,"landuse"
"banakale","Urban",2003,56,"landuse"
"banakale","Forest",2004,16281,"landuse"
"banakale","Savanna",2004,211875,"landuse"
"banakale","Grassland",2004,48735,"landuse"
"banakale","Urban",2004,56,"landuse"
"banakale","Forest",2005,16406,"landuse"
"banakale","Savanna",2005,209985,"landuse"
"banakale","Grassland",2005,50500,"landuse"
"banakale","Urban",2005,56,"landuse"
"banakale","Forest",2006,16551,"landuse"
"banakale","Savanna",2006,208273,"landuse"
"banakale","Grassland",2006,52067,"landuse"
"banakale","Urban",2006,56,"landuse"
"banakale","Forest",2007,16272,"landuse"
"banakale","Savanna",2007,205825,"landuse"
"banakale","Grassland",2007,54794,"landuse"
"banakale","Urban",2007,56,"landuse"
"banakale","Forest",2008,16013,"landuse"
"banakale","Savanna",2008,203846,"landuse"
"banakale","Grassland",2008,57032,"landuse"
"banakale","Urban",2008,56,"landuse"
"banakale","Forest",2009,16158,"landuse"
"banakale","Savanna",2009,202134,"landuse"
"banakale","Grassland",2009,58599,"landuse"
"banakale","Urban",2009,56,"landuse"
"banakale","Forest",2010,16247,"landuse"
"banakale","Savanna",2010,201969,"landuse"
"banakale","Grassland",2010,58675,"landuse"
"banakale","Urban",2010,56,"landuse"
"banakale","Forest",2011,16234,"landuse"
"banakale","Savanna",2011,200024,"landuse"
"banakale","Grassland",2011,60633,"landuse"
"banakale","Urban",2011,56,"landuse"
"banakale","Forest",2012,16369,"landuse"
"banakale","Savanna",2012,198355,"landuse"
"banakale","Grassland",2012,62167,"landuse"
"banakale","Urban",2012,56,"landuse"
"banakale","Forest",2013,16428,"landuse"
"banakale","Savanna",2013,195738,"landuse"
"banakale","Grassland",2013,64725,"landuse"
"banakale","Urban",2013,56,"landuse"
"banakale","Forest",2014,16549,"landuse"
"banakale","Savanna",2014,192571,"landuse"
"banakale","Grassland",2014,67771,"landuse"
"banakale","Urban",2014,56,"landuse"
"banakale","Forest",2015,16471,"landuse"
"banakale","Savanna",2015,189772,"landuse"
"banakale","Grassland",2015,70648,"landuse"
"banakale","Urban",2015,56,"landuse"
"banakale","Forest",2016,16436,"landuse"
"banakale","Savanna",2016,188367,"landuse"
"banakale","Grassland",2016,72088,"landuse"
"banakale","Urban",2016,56,"landuse"
"banakale","Forest",2017,17131,"landuse"
"banakale","Savanna",2017,178257,"landuse"
"banakale","Grassland",2017,81503,"landuse"
"banakale","Urban",2017,56,"landuse"
"banakale","Forest",2018,16937,"landuse"
"banakale","Savanna",2018,175432,"landuse"
"banakale","Grassland",2018,84522,"landuse"
"banakale","Urban",2018,56,"landuse"
"banakale","Forest",2019,16803,"landuse"
"banakale","Savanna",2019,179651,"landuse"
"banakale","Grassland",2019,80437,"landuse"
"banakale","Urban",2019,56,"landuse"
"banakale","Forest",2020,15267,"landuse"
"banakale","Savanna",2020,176353,"landuse"
"banakale","Grassland",2020,85271,"landuse"
"banakale","Urban",2020,56,"landuse"
"co2-bio-fasei","Urban",2017,60,"vocation"
"co2-bio-fasei","Cropland",2017,12094,"vocation"
"co2-bio-fasei","Water bodies",2017,651,"vocation"
"co2-bio-fasei","Savanna",2017,3152,"vocation"
"co2-bio-fasei","Forest",2017,1076,"vocation"
"co2-bio-fasei","Grassland",2017,36239,"vocation"
"co2-bio-fasei","Forest",2001,1636,"landuse"
"co2-bio-fasei","Savanna",2001,50221,"landuse"
"co2-bio-fasei","Grassland",2001,1226,"landuse"
"co2-bio-fasei","Urban",2001,189,"landuse"
"co2-bio-fasei","Forest",2002,1647,"landuse"
"co2-bio-fasei","Savanna",2002,50264,"landuse"
"co2-bio-fasei","Grassland",2002,1172,"landuse"
"co2-bio-fasei","Urban",2002,189,"landuse"
"co2-bio-fasei","Forest",2003,1689,"landuse"
"co2-bio-fasei","Savanna",2003,50137,"landuse"
"co2-bio-fasei","Grassland",2003,1257,"landuse"
"co2-bio-fasei","Urban",2003,189,"landuse"
"co2-bio-fasei","Forest",2004,1734,"landuse"
"co2-bio-fasei","Savanna",2004,49924,"landuse"
"co2-bio-fasei","Grassland",2004,1400,"landuse"
"co2-bio-fasei","Wetland",2004,25,"landuse"
"co2-bio-fasei","Urban",2004,189,"landuse"
"co2-bio-fasei","Forest",2005,1850,"landuse"
"co2-bio-fasei","Savanna",2005,49812,"landuse"
"co2-bio-fasei","Grassland",2005,1396,"landuse"
"co2-bio-fasei","Wetland",2005,25,"landuse"
"co2-bio-fasei","Urban",2005,189,"landuse"
"co2-bio-fasei","Forest",2006,1978,"landuse"
"co2-bio-fasei","Savanna",2006,49420,"landuse"
"co2-bio-fasei","Grassland",2006,1660,"landuse"
"co2-bio-fasei","Wetland",2006,25,"landuse"
"co2-bio-fasei","Urban",2006,189,"landuse"
"co2-bio-fasei","Forest",2007,2013,"landuse"
"co2-bio-fasei","Savanna",2007,49368,"landuse"
"co2-bio-fasei","Grassland",2007,1677,"landuse"
"co2-bio-fasei","Wetland",2007,25,"landuse"
"co2-bio-fasei","Urban",2007,189,"landuse"
"co2-bio-fasei","Forest",2008,2166,"landuse"
"co2-bio-fasei","Savanna",2008,49276,"landuse"
"co2-bio-fasei","Grassland",2008,1616,"landuse"
"co2-bio-fasei","Wetland",2008,25,"landuse"
"co2-bio-fasei","Urban",2008,189,"landuse"
"co2-bio-fasei","Forest",2009,2238,"landuse"
"co2-bio-fasei","Savanna",2009,49193,"landuse"
"co2-bio-fasei","Grassland",2009,1627,"landuse"
"co2-bio-fasei","Wetland",2009,25,"landuse"
"co2-bio-fasei","Urban",2009,189,"landuse"
"co2-bio-fasei","Forest",2010,2400,"landuse"
"co2-bio-fasei","Savanna",2010,49073,"landuse"
"co2-bio-fasei","Grassland",2010,1585,"landuse"
"co2-bio-fasei","Wetland",2010,25,"landuse"
"co2-bio-fasei","Urban",2010,189,"landuse"
"co2-bio-fasei","Forest",2011,2523,"landuse"
"co2-bio-fasei","Savanna",2011,48926,"landuse"
"co2-bio-fasei","Grassland",2011,1609,"landuse"
"co2-bio-fasei","Wetland",2011,25,"landuse"
"co2-bio-fasei","Urban",2011,189,"landuse"
"co2-bio-fasei","Forest",2012,2450,"landuse"
"co2-bio-fasei","Savanna",2012,48898,"landuse"
"co2-bio-fasei","Grassland",2012,1707,"landuse"
"co2-bio-fasei","Wetland",2012,28,"landuse"
"co2-bio-fasei","Urban",2012,189,"landuse"
"co2-bio-fasei","Forest",2013,2529,"landuse"
"co2-bio-fasei","Savanna",2013,48574,"landuse"
"co2-bio-fasei","Grassland",2013,1952,"landuse"
"co2-bio-fasei","Wetland",2013,28,"landuse"
"co2-bio-fasei","Urban",2013,189,"landuse"
"co2-bio-fasei","Forest",2014,2561,"landuse"
"co2-bio-fasei","Savanna",2014,48134,"landuse"
"co2-bio-fasei","Grassland",2014,2360,"landuse"
"co2-bio-fasei","Wetland",2014,28,"landuse"
"co2-bio-fasei","Urban",2014,189,"landuse"
"co2-bio-fasei","Forest",2015,2661,"landuse"
"co2-bio-fasei","Savanna",2015,47685,"landuse"
"co2-bio-fasei","Grassland",2015,2708,"landuse"
"co2-bio-fasei","Wetland",2015,29,"landuse"
"co2-bio-fasei","Urban",2015,189,"landuse"
"co2-bio-fasei","Forest",2016,2814,"landuse"
"co2-bio-fasei","Savanna",2016,47424,"landuse"
"co2-bio-fasei","Grassland",2016,2816,"landuse"
"co2-bio-fasei","Wetland",2016,29,"landuse"
"co2-bio-fasei","Urban",2016,189,"landuse"
"co2-bio-fasei","Forest",2017,2997,"landuse"
"co2-bio-fasei","Savanna",2017,45832,"landuse"
"co2-bio-fasei","Grassland",2017,4226,"landuse"
"co2-bio-fasei","Wetland",2017,28,"landuse"
"co2-bio-fasei","Urban",2017,189,"landuse"
"co2-bio-fasei","Forest",2018,2925,"landuse"
"co2-bio-fasei","Savanna",2018,46101,"landuse"
"co2-bio-fasei","Grassland",2018,4029,"landuse"
"co2-bio-fasei","Wetland",2018,28,"landuse"
"co2-bio-fasei","Urban",2018,189,"landuse"
"co2-bio-fasei","Forest",2019,2799,"landuse"
"co2-bio-fasei","Savanna",2019,46297,"landuse"
"co2-bio-fasei","Grassland",2019,3959,"landuse"
"co2-bio-fasei","Wetland",2019,28,"landuse"
"co2-bio-fasei","Urban",2019,189,"landuse"
"co2-bio-fasei","Forest",2020,2923,"landuse"
"co2-bio-fasei","Savanna",2020,46293,"landuse"
"co2-bio-fasei","Grassland",2020,3842,"landuse"
"co2-bio-fasei","Wetland",2020,25,"landuse"
"co2-bio-fasei","Urban",2020,189,"landuse"
"co2bio-p2","Cropland",2017,34089,"vocation"
"co2bio-p2","Water bodies",2017,1611,"vocation"
"co2bio-p2","Savanna",2017,20870,"vocation"
"co2bio-p2","Forest",2017,21346,"vocation"
"co2bio-p2","Grassland",2017,58033,"vocation"
"co2bio-p2","Forest",2001,3415,"landuse"
"co2bio-p2","Savanna",2001,124468,"landuse"
"co2bio-p2","Grassland",2001,7906,"landuse"
"co2bio-p2","Wetland",2001,103,"landuse"
"co2bio-p2","Water bodies",2001,57,"landuse"
"co2bio-p2","Forest",2002,3346,"landuse"
"co2bio-p2","Savanna",2002,124602,"landuse"
"co2bio-p2","Grassland",2002,7855,"landuse"
"co2bio-p2","Wetland",2002,89,"landuse"
"co2bio-p2","Water bodies",2002,57,"landuse"
"co2bio-p2","Forest",2003,3284,"landuse"
"co2bio-p2","Savanna",2003,124076,"landuse"
"co2bio-p2","Grassland",2003,8443,"landuse"
"co2bio-p2","Wetland",2003,89,"landuse"
"co2bio-p2","Water bodies",2003,57,"landuse"
"co2bio-p2","Forest",2004,3350,"landuse"
"co2bio-p2","Savanna",2004,123530,"landuse"
"co2bio-p2","Grassland",2004,8903,"landuse"
"co2bio-p2","Wetland",2004,109,"landuse"
"co2bio-p2","Water bodies",2004,57,"landuse"
"co2bio-p2","Forest",2005,3545,"landuse"
"co2bio-p2","Savanna",2005,122804,"landuse"
"co2bio-p2","Grassland",2005,9446,"landuse"
"co2bio-p2","Wetland",2005,97,"landuse"
"co2bio-p2","Water bodies",2005,57,"landuse"
"co2bio-p2","Forest",2006,3536,"landuse"
"co2bio-p2","Savanna",2006,122400,"landuse"
"co2bio-p2","Grassland",2006,9875,"landuse"
"co2bio-p2","Wetland",2006,81,"landuse"
"co2bio-p2","Water bodies",2006,57,"landuse"
"co2bio-p2","Forest",2007,3697,"landuse"
"co2bio-p2","Savanna",2007,121775,"landuse"
"co2bio-p2","Grassland",2007,10340,"landuse"
"co2bio-p2","Wetland",2007,80,"landuse"
"co2bio-p2","Water bodies",2007,57,"landuse"
"co2bio-p2","Forest",2008,3824,"landuse"
"co2bio-p2","Savanna",2008,121499,"landuse"
"co2bio-p2","Grassland",2008,10471,"landuse"
"co2bio-p2","Wetland",2008,98,"landuse"
"co2bio-p2","Water bodies",2008,57,"landuse"
"co2bio-p2","Forest",2009,3948,"landuse"
"co2bio-p2","Savanna",2009,121597,"landuse"
"co2bio-p2","Grassland",2009,10218,"landuse"
"co2bio-p2","Wetland",2009,129,"landuse"
"co2bio-p2","Water bodies",2009,57,"landuse"
"co2bio-p2","Forest",2010,4136,"landuse"
"co2bio-p2","Savanna",2010,121343,"landuse"
"co2bio-p2","Grassland",2010,10278,"landuse"
"co2bio-p2","Wetland",2010,135,"landuse"
"co2bio-p2","Water bodies",2010,57,"landuse"
"co2bio-p2","Forest",2011,4292,"landuse"
"co2bio-p2","Savanna",2011,120811,"landuse"
"co2bio-p2","Grassland",2011,10583,"landuse"
"co2bio-p2","Wetland",2011,206,"landuse"
"co2bio-p2","Water bodies",2011,57,"landuse"
"co2bio-p2","Forest",2012,4287,"landuse"
"co2bio-p2","Savanna",2012,120409,"landuse"
"co2bio-p2","Grassland",2012,11000,"landuse"
"co2bio-p2","Wetland",2012,196,"landuse"
"co2bio-p2","Water bodies",2012,57,"landuse"
"co2bio-p2","Forest",2013,4284,"landuse"
"co2bio-p2","Savanna",2013,119687,"landuse"
"co2bio-p2","Grassland",2013,11723,"landuse"
"co2bio-p2","Wetland",2013,198,"landuse"
"co2bio-p2","Water bodies",2013,57,"landuse"
"co2bio-p2","Forest",2014,4424,"landuse"
"co2bio-p2","Savanna",2014,118184,"landuse"
"co2bio-p2","Grassland",2014,13076,"landuse"
"co2bio-p2","Wetland",2014,208,"landuse"
"co2bio-p2","Water bodies",2014,57,"landuse"
"co2bio-p2","Forest",2015,4558,"landuse"
"co2bio-p2","Savanna",2015,115709,"landuse"
"co2bio-p2","Grassland",2015,15417,"landuse"
"co2bio-p2","Wetland",2015,208,"landuse"
"co2bio-p2","Water bodies",2015,57,"landuse"
"co2bio-p2","Forest",2016,4628,"landuse"
"co2bio-p2","Savanna",2016,114305,"landuse"
"co2bio-p2","Grassland",2016,16737,"landuse"
"co2bio-p2","Wetland",2016,222,"landuse"
"co2bio-p2","Water bodies",2016,57,"landuse"
"co2bio-p2","Forest",2017,4711,"landuse"
"co2bio-p2","Savanna",2017,109776,"landuse"
"co2bio-p2","Grassland",2017,21099,"landuse"
"co2bio-p2","Wetland",2017,306,"landuse"
"co2bio-p2","Water bodies",2017,57,"landuse"
"co2bio-p2","Forest",2018,5039,"landuse"
"co2bio-p2","Savanna",2018,110135,"landuse"
"co2bio-p2","Grassland",2018,20417,"landuse"
"co2bio-p2","Wetland",2018,301,"landuse"
"co2bio-p2","Water bodies",2018,57,"landuse"
"co2bio-p2","Forest",2019,4741,"landuse"
"co2bio-p2","Savanna",2019,111538,"landuse"
"co2bio-p2","Grassland",2019,19339,"landuse"
"co2bio-p2","Wetland",2019,249,"landuse"
"co2bio-p2","Cropland",2019,25,"landuse"
"co2bio-p2","Water bodies",2019,57,"landuse"
"co2bio-p2","Forest",2020,4744,"landuse"
"co2bio-p2","Savanna",2020,111856,"landuse"
"co2bio-p2","Grassland",2020,19089,"landuse"
"co2bio-p2","Wetland",2020,203,"landuse"
"co2bio-p2","Water bodies",2020,57,"landuse"
"el-tigre","Cropland",2017,15834,"vocation"
"el-tigre","Savanna",2017,3950,"vocation"
"el-tigre","Forest",2017,28326,"vocation"
"el-tigre","Grassland",2017,3,"vocation"
"el-tigre","Forest",2001,11614,"landuse"
"el-tigre","Savanna",2001,34131,"landuse"
"el-tigre","Grassland",2001,2368,"landuse"
"el-tigre","Forest",2002,11231,"landuse"
"el-tigre","Savanna",2002,34318,"landuse"
"el-tigre","Grassland",2002,2564,"landuse"
"el-tigre","Forest",2003,10866,"landuse"
"el-tigre","Savanna",2003,34726,"landuse"
"el-tigre","Grassland",2003,2521,"landuse"
"el-tigre","Forest",2004,10982,"landuse"
"el-tigre","Savanna",2004,34950,"landuse"
"el-tigre","Grassland",2004,2181,"landuse"
"el-tigre","Forest",2005,11093,"landuse"
"el-tigre","Savanna",2005,34980,"landuse"
"el-tigre","Grassland",2005,2040,"landuse"
"el-tigre","Forest",2006,11064,"landuse"
"el-tigre","Savanna",2006,34576,"landuse"
"el-tigre","Grassland",2006,2473,"landuse"
"el-tigre","Forest",2007,11034,"landuse"
"el-tigre","Savanna",2007,34104,"landuse"
"el-tigre","Grassland",2007,2975,"landuse"
"el-tigre","Forest",2008,11104,"landuse"
"el-tigre","Savanna",2008,33742,"landuse"
"el-tigre","Grassland",2008,3267,"landuse"
"el-tigre","Forest",2009,11093,"landuse"
"el-tigre","Savanna",2009,34068,"landuse"
"el-tigre","Grassland",2009,2952,"landuse"
"el-tigre","Forest",2010,11139,"landuse"
"el-tigre","Savanna",2010,34478,"landuse"
"el-tigre","Grassland",2010,2496,"landuse"
"el-tigre","Forest",2011,11351,"landuse"
"el-tigre","Savanna",2011,34398,"landuse"
"el-tigre","Grassland",2011,2364,"landuse"
"el-tigre","Forest",2012,11485,"landuse"
"el-tigre","Savanna",2012,34201,"landuse"
"el-tigre","Grassland",2012,2427,"landuse"
"el-tigre","Forest",2013,11785,"landuse"
"el-tigre","Savanna",2013,33695,"landuse"
"el-tigre","Grassland",2013,2633,"landuse"
"el-tigre","Forest",2014,12019,"landuse"
"el-tigre","Savanna",2014,32976,"landuse"
"el-tigre","Grassland",2014,3118,"landuse"
"el-tigre","Forest",2015,12183,"landuse"
"el-tigre","Savanna",2015,32800,"landuse"
"el-tigre","Grassland",2015,3130,"landuse"
"el-tigre","Forest",2016,12179,"landuse"
"el-tigre","Savanna",2016,32870,"landuse"
"el-tigre","Grassland",2016,3064,"landuse"
"el-tigre","Forest",2017,12965,"landuse"
"el-tigre","Savanna",2017,31970,"landuse"
"el-tigre","Grassland",2017,3178,"landuse"
"el-tigre","Forest",2018,12672,"landuse"
"el-tigre","Savanna",2018,32467,"landuse"
"el-tigre","Grassland",2018,2974,"landuse"
"el-tigre","Forest",2019,12534,"landuse"
"el-tigre","Savanna",2019,32888,"landuse"
"el-tigre","Grassland",2019,2691,"landuse"
"el-tigre","Forest",2020,12269,"landuse"
"el-tigre","Savanna",2020,33767,"landuse"
"el-tigre","Grassland",2020,2077,"landuse"
"palameku","Cropland",2017,44944,"vocation"
"palameku","Water bodies",2017,4281,"vocation"
"palameku","Savanna",2017,49071,"vocation"
"palameku","Forest",2017,154636,"vocation"
"palameku","Grassland",2017,1126,"vocation"
"palameku","Forest",2001,5355,"landuse"
"palameku","Savanna",2001,215463,"landuse"
"palameku","Grassland",2001,33240,"landuse"
"palameku","Forest",2002,5537,"landuse"
"palameku","Savanna",2002,214703,"landuse"
"palameku","Grassland",2002,33818,"landuse"
"palameku","Forest",2003,5830,"landuse"
"palameku","Savanna",2003,215166,"landuse"
"palameku","Grassland",2003,33062,"landuse"
"palameku","Forest",2004,6456,"landuse"
"palameku","Savanna",2004,214014,"landuse"
"palameku","Grassland",2004,33588,"landuse"
"palameku","Forest",2005,6503,"landuse"
"palameku","Savanna",2005,211379,"landuse"
"palameku","Grassland",2005,36176,"landuse"
"palameku","Forest",2006,6761,"landuse"
"palameku","Savanna",2006,209061,"landuse"
"palameku","Grassland",2006,38236,"landuse"
"palameku","Forest",2007,6761,"landuse"
"palameku","Savanna",2007,206997,"landuse"
"palameku","Grassland",2007,40300,"landuse"
"palameku","Forest",2008,7070,"landuse"
"palameku","Savanna",2008,204486,"landuse"
"palameku","Grassland",2008,42502,"landuse"
"palameku","Forest",2009,7338,"landuse"
"palameku","Savanna",2009,203561,"landuse"
"palameku","Grassland",2009,43159,"landuse"
"palameku","Forest",2010,7407,"landuse"
"palameku","Savanna",2010,204191,"landuse"
"palameku","Grassland",2010,42460,"landuse"
"palameku","Forest",2011,7394,"landuse"
"palameku","Savanna",2011,202117,"landuse"
"palameku","Grassland",2011,44547,"landuse"
"palameku","Forest",2012,7399,"landuse"
"palameku","Savanna",2012,200572,"landuse"
"palameku","Grassland",2012,46087,"landuse"
"palameku","Forest",2013,7221,"landuse"
"palameku","Savanna",2013,198161,"landuse"
"palameku","Grassland",2013,48676,"landuse"
"palameku","Forest",2014,7358,"landuse"
"palameku","Savanna",2014,194595,"landuse"
"palameku","Grassland",2014,52105,"landuse"
"palameku","Forest",2015,7488,"landuse"
"palameku","Savanna",2015,189800,"landuse"
"palameku","Grassland",2015,56770,"landuse"
"palameku","Forest",2016,7421,"landuse"
"palameku","Savanna",2016,186307,"landuse"
"palameku","Grassland",2016,60330,"landuse"
"palameku","Forest",2017,7745,"landuse"
"palameku","Savanna",2017,178609,"landuse"
"palameku","Grassland",2017,67704,"landuse"
"palameku","Forest",2018,7855,"landuse"
"palameku","Savanna",2018,177635,"landuse"
"palameku","Grassland",2018,68568,"landuse"
"palameku","Forest",2019,7640,"landuse"
"palameku","Savanna",2019,183219,"landuse"
"palameku","Grassland",2019,63199,"landuse"
"palameku","Forest",2020,6812,"landuse"
"palameku","Savanna",2020,180884,"landuse"
"palameku","Grassland",2020,66362,"landuse"
"corpochivor","Urban",2017,1,"vocation"
"corpochivor","Cropland",2017,341,"vocation"
"corpochivor","Water bodies",2017,14,"vocation"
"corpochivor","Savanna",2017,21,"vocation"
"corpochivor","Forest",2017,1928,"vocation"
"corpochivor","Forest",2001,1175,"landuse"
"corpochivor","Savanna",2001,1112,"landuse"
"corpochivor","Grassland",2001,18,"landuse"
"corpochivor","Forest",2002,1159,"landuse"
"corpochivor","Schrub",2002,1,"landuse"
"corpochivor","Savanna",2002,1127,"landuse"
"corpochivor","Grassland",2002,18,"landuse"
"corpochivor","Forest",2003,1140,"landuse"
"corpochivor","Schrub",2003,1,"landuse"
"corpochivor","Savanna",2003,1146,"landuse"
"corpochivor","Grassland",2003,18,"landuse"
"corpochivor","Forest",2004,1089,"landuse"
"corpochivor","Schrub",2004,1,"landuse"
"corpochivor","Savanna",2004,1197,"landuse"
"corpochivor","Grassland",2004,18,"landuse"
"corpochivor","Forest",2005,1009,"landuse"
