"project","run","auc"
"banakale_Orinoco","run_40",0.982342657342657
"banakale_Orinoco","run_41",0.967391304347826
"banakale_Orinoco","run_42",0.982456140350877
"banakale_Orinoco","run_43",0.97449118046133
"banakale_Orinoco","run_44",0.990196078431373
"banakale_Orinoco","run_45",0.980580693815988
"banakale_Orinoco","run_46",0.974286563614744
"banakale_Orinoco","run_47",0.991228070175439
"banakale_Orinoco","run_48",1
"banakale_Orinoco","run_49",0.971006944444444
"banakale_Orinoco","run_50",1
"banco2_Andean","run_1",1
"banco2_Andean","run_2",1
"banco2_Andean","run_3",1
"banco2_Andean","run_4",0.777777777777778
"banco2_Andean","run_5",0.916666666666667
"banco2_Andean","run_6",0.854166666666667
"banco2_Andean","run_7",0.9375
"banco2_Andean","run_8",1
"banco2_Andean","run_9",0.9375
"banco2_Andean","run_10",1
"banco2_Andean","run_11",1
"banco2_Andean","run_12",1
"banco2_Andean","run_13",1
"banco2_Andean","run_14",1
"banco2_Andean","run_15",1
"banco2_Andean","run_16",0.9375
"banco2_Andean","run_17",1
"banco2_Andean","run_18",0.696428571428571
"banco2_Andean","run_19",0.9375
"banco2_Andean","run_20",0.857142857142857
"banco2_Andean","run_21",1
"banco2_Andean","run_22",0.83125
"banco2_Andean","run_23",0.916666666666667
"banco2_Andean","run_24",1
"banco2_Andean","run_25",1
"banco2_Andean","run_26",0.65625
"banco2_Andean","run_27",0.9
"banco2_Andean","run_28",0.875
"banco2_Andean","run_29",0.928571428571429
"banco2_Andean","run_30",0.944444444444444
"banco2_Andean","run_31",0.888888888888889
"banco2_Andean","run_32",1
"banco2_Andean","run_33",0.55
"banco2_Andean","run_34",0.928571428571429
"banco2_Andean","run_35",0.675
"banco2_Andean","run_36",1
"banco2_Andean","run_37",0.952380952380952
"banco2_Andean","run_38",0.958333333333333
"banco2_Andean","run_39",0.928571428571429
"banco2_Andean","run_40",1
"banco2_Andean","run_41",0.916666666666667
"banco2_Andean","run_42",1
"banco2_Andean","run_43",1
"banco2_Andean","run_44",0.611111111111111
"banco2_Andean","run_45",0.8
"banco2_Andean","run_46",1
"banco2_Andean","run_47",1
"banco2_Andean","run_48",1
"banco2_Andean","run_49",1
"banco2_Andean","run_50",0.866666666666667
"bc-y-bm_Pacific","run_1",0.888888888888889
"bc-y-bm_Pacific","run_2",0.9
"bc-y-bm_Pacific","run_3",0.868421052631579
"bc-y-bm_Pacific","run_4",0.958333333333333
"bc-y-bm_Pacific","run_5",1
"bc-y-bm_Pacific","run_6",1
"bc-y-bm_Pacific","run_7",0.96875
"bc-y-bm_Pacific","run_8",0.976190476190476
"bc-y-bm_Pacific","run_9",1
"bc-y-bm_Pacific","run_10",0.934782608695652
"bc-y-bm_Pacific","run_11",0.75
"bc-y-bm_Pacific","run_12",0.911764705882353
"bc-y-bm_Pacific","run_13",0.882352941176471
"bc-y-bm_Pacific","run_14",0.875
"bc-y-bm_Pacific","run_15",0.952380952380952
"bc-y-bm_Pacific","run_16",0.973684210526316
"bc-y-bm_Pacific","run_17",0.847826086956522
"bc-y-bm_Pacific","run_18",0.952380952380952
"bc-y-bm_Pacific","run_19",0.961538461538462
"bc-y-bm_Pacific","run_20",0.921052631578947
